product_name;product_type;client_type;over;under;term_months;term_days;currency;interest
Oprocentowanie standardowe rachunków OKO;savings;corporate;0;20000000;NA;NA;PLN;FILL_IN
Oprocentowanie standardowe rachunków OKO;savings;corporate;20000000;inf;NA;NA;PLN;FILL_IN
Oprocentowanie standardowe rachunków OKO;savings;corporate;0;100000;NA;NA;EUR;FILL_IN
Oprocentowanie standardowe rachunków OKO;savings;corporate;100000;inf;NA;NA;EUR;FILL_IN
Oprocentowanie standardowe rachunków OKO;savings;corporate;0;100000;NA;NA;USD;FILL_IN
Oprocentowanie standardowe rachunków OKO;savings;corporate;100000;inf;NA;NA;USD;FILL_IN
Depozyty korporacyjne;deposit;corporate;0;inf;NA;NA;PLN;FILL_IN
